"Christian","Laibon for health problem","Clinic for health problem","Prayer/advice from church
for health problem","Self for health problem","Family for health problem","Friend for health problem","Trusts doctors","Trusts laibon","Trusts church leadership","Family for spiritual advice","Friend for spiritual advice","No one for spiritual advice","Church for spiritual advice","Elders for spiritual advice","Laibon for spiritual advice","Frequency church"
1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,4
1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,4
1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,4
0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,2
1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,5
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,5
1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,4
0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,4
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,4
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,5
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,4
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,4
1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,4
1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,4
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2
1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,4
1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,4
0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1
0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1
0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,2
0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,4
1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,4
1,0,1,0,0,0,0,0.5,0,1,0,0,0,0,1,0,4
1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,4
1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,4
1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,4
0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,2
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,4
1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,4
1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,4
1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,4
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,4
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,4
1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,2
1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,4
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,4
1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,5
1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,4
0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,4
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,5
0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,4
1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,4
0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,5
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,4
1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,4
0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,5
0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2
1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,4
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,4
0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2
0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,4
0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,4
0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,2
0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2
0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2
1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,5
0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,2
1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,4
0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2
0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,2
0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,2
0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1
0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2
0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1
0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,2
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,4
1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,4
